text,label
"i want to know what is the humidity",real
"what is the temperature please",real
"what is the wind speed in mumbai please",real
"how is the weather in mumbai",real
"can you tell me what is the humidity in delhi?",real
"could you tell me, whats the temperature in mumbai",real
"i want to know what is the humidity",real
"can you please tell me how is the weather?",real
"could you tell me, whats the temperature in mumbai",real
"i want to know can you please tell me how is the weather",real
"i want to know what is the temperature",real
"can you please tell me how is the weather?",real
"could you tell me, what is the humidity in delhi",real
"i want to know what is the humidity",real
"could you tell me, what is the wind speed",real
"what is the humidity",real
"could you tell me, what is the wind speed in mumbai",real
"how is the weather",real
"how is the weather in mumbai?",real
"hey, what is the wind speed",real
"could you tell me, how is the weather in mumbai",real
"can you tell me how is the weather in my location?",real
"how is the weather",real
"what is the humidity in delhi",real
"how is the weather",real
"can you tell me how is the weather?",real
"what is the temperature",real
"can you tell me how is the weather in my location?",real
"can you please tell me how is the weather?",real
"i want to know what is the humidity in delhi",real
"i want to know what is the humidity near me",real
"hey, what is the humidity near me",real
"what is the humidity please",real
"what is the wind speed?",real
"what is the humidity in delhi",real
"i want to know what is the humidity in delhi",real
"how is the weather in my location",real
"hey, whats the temperature in mumbai",real
"what is the humidity",real
"hey, what is the temperature",real
"could you tell me, what is the wind speed",real
"i want to know whats the temperature in mumbai",real
"could you tell me, how is the weather",real
"hey, whats the temperature in mumbai",real
"could you tell me, what is the humidity in delhi",real
"how is the weather please",real
"could you tell me, what is the wind speed in mumbai",real
"what is the wind speed in mumbai",real
"i want to know whats the temperature in mumbai",real
"what is the wind speed please",real
"can you please tell me how is the weather?",real
"how is the weather in mumbai",real
"i want to know can you please tell me how is the weather",real
"could you tell me, how is the weather in mumbai",real
"could you tell me, what is the wind speed",real
"what is the wind speed",real
"could you tell me, what is the wind speed in mumbai",real
"how is the weather in mumbai",real
"could you tell me, whats the temperature in mumbai",real
"what is the humidity",real
"could you tell me, what is the wind speed in mumbai",real
"can you tell me how is the weather in my location?",real
"i want to know what is the wind speed",real
"hey, what is the humidity in delhi",real
"i want to know what is the wind speed in mumbai",real
"what is the wind speed please",real
"could you tell me, how is the weather",real
"how is the weather?",real
"how is the weather in my location",real
"how is the weather in my location",real
"hey, how is the weather in mumbai",real
"can you please tell me how is the weather?",real
"hey, what is the humidity in delhi",real
"what is the humidity near me please",real
"can you tell me what is the temperature?",real
"whats the temperature in mumbai",real
"what is the wind speed in mumbai?",real
"how is the weather in mumbai?",real
"how is the weather in mumbai?",real
"can you tell me what is the humidity in delhi?",real
"could you tell me, what is the humidity",real
"i want to know whats the temperature in mumbai",real
"can you tell me how is the weather?",real
"i want to know what is the wind speed in mumbai",real
"hey, how is the weather in mumbai",real
"hey, how is the weather",real
"i want to know how is the weather in my location",real
"hey, what is the humidity near me",real
"can you tell me how is the weather in mumbai?",real
"whats the temperature in mumbai",real
