text,label
"Open the curtains",hardware
"Close the curtains",hardware
"Switch on the lights",hardware
"Switch off the lights",hardware
"Turn on the fan",hardware
"Turn off the fan",hardware
"Activate LED strips",hardware
"Deactivate LED strips",hardware
"Robotic arm pass me that object",hardware
"Where is my object",hardware
"Make me coffee",hardware
"Open the door",hardware
"Close the door",hardware
"Pull the curtains open",hardware
"Draw the curtains closed",hardware
"Can you open the curtains please",hardware
"Please close the curtains",hardware
"I need the curtains opened",hardware
"Shut the curtains",hardware
"Open up the curtains",hardware
"Close those curtains",hardware
"Turn the lights on",hardware
"Turn the lights off",hardware
"Switch the lights on",hardware
"Switch the lights off",hardware
"Light up the room",hardware
"Turn off all lights",hardware
"Dim the lights",hardware
"Brighten the lights",hardware
"Lights on please",hardware
"Lights off please",hardware
"Can you turn on the lights",hardware
"Please switch off the lights",hardware
"I need more light",hardware
"Make it darker",hardware
"Illuminate the room",hardware
"Kill the lights",hardware
"Power on the lights",hardware
"Power off the lights",hardware
"Activate the lighting system",hardware
"Deactivate the lighting system",hardware
"Turn on the ceiling fan",hardware
"Turn off the ceiling fan",hardware
"Start the fan",hardware
"Stop the fan",hardware
"Switch on the fan",hardware
"Switch off the fan",hardware
"Fan on",hardware
"Fan off",hardware
"I need some air circulation",hardware
"Start the ventilation",hardware
"Cool me down with the fan",hardware
"Turn up the fan speed",hardware
"Turn down the fan speed",hardware
"Increase fan speed",hardware
"Decrease fan speed",hardware
"Maximum fan speed",hardware
"Minimum fan speed",hardware
"Fan at full speed",hardware
"Slow down the fan",hardware
"Speed up the fan",hardware
"Turn on the LED strips",hardware
"Turn off the LED strips",hardware
"Activate LED lighting",hardware
"Deactivate LED lighting",hardware
"Switch on the LED strips",hardware
"Switch off the LED strips",hardware
"Light up the LED strips",hardware
"Turn off those LED strips",hardware
"I want colorful lighting",hardware
"Change LED strip colors",hardware
"Set LED strips to blue",hardware
"Set LED strips to red",hardware
"Set LED strips to green",hardware
"Make LED strips brighter",hardware
"Make LED strips dimmer",hardware
"LED strips on",hardware
"LED strips off",hardware
"Activate ambient lighting",hardware
"Deactivate ambient lighting",hardware
"Turn on decorative lights",hardware
"Turn off decorative lights",hardware
"Robotic arm bring me that book",hardware
"Robotic arm get me that pen",hardware
"Robotic arm fetch that cup",hardware
"Robotic arm hand me that remote",hardware
"Robotic arm pass me the bottle",hardware
"Robotic arm give me that tool",hardware
"Robotic arm retrieve that item",hardware
"Robotic arm pick up that object",hardware
"Robotic arm grab that thing",hardware
"Robotic arm deliver that package",hardware
"Robot arm pass me that",hardware
"Robot arm get that for me",hardware
"Robot arm bring that here",hardware
"Robot arm fetch that item",hardware
"Robot arm hand me that",hardware
"Arm pass me that object",hardware
"Arm get me that thing",hardware
"Arm bring me that item",hardware
"Arm fetch that for me",hardware
"Arm grab that object",hardware
"Where did I put my keys",hardware
"Where is my phone",hardware
"Where is my wallet",hardware
"Where is my book",hardware
"Where is my remote control",hardware
"Where is my charger",hardware
"Where is my laptop",hardware
"Where is my tablet",hardware
"Where is my glasses",hardware
"Where is my watch",hardware
"Find my keys",hardware
"Find my phone",hardware
"Find my wallet",hardware
"Locate my object",hardware
"Locate my keys",hardware
"Locate my phone",hardware
"Search for my keys",hardware
"Search for my phone",hardware
"Help me find my keys",hardware
"Help me find my phone",hardware
"Where did I leave my keys",hardware
"Where did I leave my phone",hardware
"I can't find my keys",hardware
"I can't find my phone",hardware
"I lost my keys",hardware
"I lost my phone",hardware
"Track my keys",hardware
"Track my phone",hardware
"Show me where my keys are",hardware
"Show me where my phone is",hardware
"Brew me some coffee",hardware
"Prepare coffee for me",hardware
"I need a cup of coffee",hardware
"Make a fresh cup of coffee",hardware
"Start the coffee maker",hardware
"Brew a pot of coffee",hardware
"I want some coffee",hardware
"Coffee please",hardware
"Can you make me coffee",hardware
"Please make me coffee",hardware
"I need my morning coffee",hardware
"Prepare my usual coffee",hardware
"Make me a strong coffee",hardware
"Make me a mild coffee",hardware
"Brew me an espresso",hardware
"Make me a latte",hardware
"Prepare my coffee now",hardware
"Start brewing coffee",hardware
"Begin coffee preparation",hardware
"Activate coffee maker",hardware
"Turn on coffee machine",hardware
"I'm ready for coffee",hardware
"Time for coffee",hardware
"Coffee time",hardware
"Get the coffee ready",hardware
"Prepare the coffee",hardware
"Set up coffee brewing",hardware
"Initialize coffee maker",hardware
"Open the front door",hardware
"Close the front door",hardware
"Open the main door",hardware
"Close the main door",hardware
"Unlock the door",hardware
"Lock the door",hardware
"Open the entrance",hardware
"Close the entrance",hardware
"I need the door opened",hardware
"I need the door closed",hardware
"Can you open the door",hardware
"Can you close the door",hardware
"Please open the door",hardware
"Please close the door",hardware
"Door open",hardware
"Door close",hardware
"Open door please",hardware
"Close door please",hardware
"Unlock and open the door",hardware
"Close and lock the door",hardware
"Let me in",hardware
"Secure the door",hardware
"Unsecure the door",hardware
"Grant access through door",hardware
"Deny access through door",hardware
"Activate door opening",hardware
"Activate door closing",hardware
"Open curtains in bedroom",hardware
"Close curtains in living room",hardware
"Open all curtains",hardware
"Close all curtains",hardware
"Pull back the drapes",hardware
"Draw the drapes",hardware
"Open the blinds",hardware
"Close the blinds",hardware
"Raise the blinds",hardware
"Lower the blinds",hardware
"Let in some sunlight",hardware
"Block out the sunlight",hardware
"I want natural light",hardware
"Make the room darker",hardware
"Open window coverings",hardware
"Close window coverings",hardware
"Retract the curtains",hardware
"Extend the curtains",hardware
"Curtains up",hardware
"Curtains down",hardware
"Switch on bedroom lights",hardware
"Switch off kitchen lights",hardware
"Turn on bathroom lights",hardware
"Turn off hallway lights",hardware
"Light up the living room",hardware
"Darken the bedroom",hardware
"All lights on",hardware
"All lights off",hardware
"Main lights on",hardware
"Main lights off",hardware
"Overhead lights on",hardware
"Overhead lights off",hardware
"Table lamp on",hardware
"Table lamp off",hardware
"Floor lamp on",hardware
"Floor lamp off",hardware
"Desk light on",hardware
"Desk light off",hardware
"Reading light on",hardware
"Reading light off",hardware
"Night light on",hardware
"Night light off",hardware
"Emergency lights on",hardware
"Emergency lights off",hardware
"Accent lighting on",hardware
"Accent lighting off",hardware
"Task lighting on",hardware
"Task lighting off",hardware
"Mood lighting on",hardware
"Mood lighting off",hardware
"Bright lighting please",hardware
"Soft lighting please",hardware
"Full brightness",hardware
"Low brightness",hardware
"Turn on living room fan",hardware
"Turn off bedroom fan",hardware
"Start kitchen fan",hardware
"Stop bathroom fan",hardware
"Exhaust fan on",hardware
"Exhaust fan off",hardware
"Ceiling fan clockwise",hardware
"Ceiling fan counterclockwise",hardware
"Reverse fan direction",hardware
"Fan speed high",hardware
"Fan speed medium",hardware
"Fan speed low",hardware
"Oscillating fan on",hardware
"Oscillating fan off",hardware
"Tower fan on",hardware
"Tower fan off",hardware
"Pedestal fan on",hardware
"Pedestal fan off",hardware
"Ventilation fan on",hardware
"Ventilation fan off",hardware
"Cooling fan on",hardware
"Cooling fan off",hardware
"Air circulation on",hardware
"Air circulation off",hardware
"Fresh air circulation",hardware
"Stop air circulation",hardware
"Activate room ventilation",hardware
"Deactivate room ventilation",hardware
"Turn on strip lighting",hardware
"Turn off strip lighting",hardware
"RGB LED strips on",hardware
"RGB LED strips off",hardware
"Color changing lights on",hardware
"Color changing lights off",hardware
"Under cabinet lighting on",hardware
"Under cabinet lighting off",hardware
"Backlight on",hardware
"Backlight off",hardware
"Accent strips on",hardware
"Accent strips off",hardware
"Decorative lighting on",hardware
"Decorative lighting off",hardware
"Party lights on",hardware
"Party lights off",hardware
"Mood strips on",hardware
"Mood strips off",hardware
"Gaming lights on",hardware
"Gaming lights off",hardware
"Ambient strips on",hardware
"Ambient strips off",hardware
"LED strip red color",hardware
"LED strip blue color",hardware
"LED strip green color",hardware
"LED strip white color",hardware
"LED strip rainbow mode",hardware
"LED strip disco mode",hardware
"LED strip breathing mode",hardware
"LED strip static mode",hardware
"Robotic arm pick up my phone",hardware
"Robotic arm grab my keys",hardware
"Robotic arm fetch my glasses",hardware
"Robotic arm bring my book",hardware
"Robotic arm get my remote",hardware
"Robotic arm pass my wallet",hardware
"Robotic arm hand me my tablet",hardware
"Robotic arm deliver my package",hardware
"Robotic arm retrieve my tool",hardware
"Robotic arm collect my item",hardware
"Robot help me get that",hardware
"Robot bring that object here",hardware
"Robot fetch that thing",hardware
"Robot pass me that item",hardware
"Robot hand me that tool",hardware
"Robot deliver that package",hardware
"Robot collect that object",hardware
"Robot grab that thing",hardware
"Robot pick that up",hardware
"Robot get that for me",hardware
"Mechanical arm assistance",hardware
"Mechanical arm help",hardware
"Automated arm service",hardware
"Automated arm help",hardware
"Servo arm pick up",hardware
"Servo arm deliver",hardware
"Articulated arm fetch",hardware
"Articulated arm grab",hardware
"Manipulator arm get",hardware
"Manipulator arm bring",hardware
"Where are my sunglasses",hardware
"Where are my headphones",hardware
"Where is my backpack",hardware
